titles,genre,developers,publishers
Austin Powers Pinball,Gotham Games,Take 2 Interactive,Unreleased
Autobahn Raser II,Davilex,Davilex,Unreleased
Auto Destruct,Neurostone,Electronic Arts,Unreleased
Ayakashi Ninden Kunoichiban,Zero System,Shoeisha,"September 25, 1997"
Ayrton Senna Kart Duel,Gaps,"GapsJP, SunsoftPAL","September 16, 1996"
Ayrton Senna Kart Duel 2,Gaps,"GapsJP, SunsoftPAL","November 20, 1997"
Ayrton Senna Kart Duel Special,Gaps,Gaps,"April 28, 1999"
Azito,Astec 21,Banpresto,"February 28, 1997"
Azito 2,Astec 21,Banpresto,"October 15, 1998"
Azito 3,Astec 21,Banpresto,"February 17, 2000"
Aztec: The Curse in the Heart of the City of Gold,Cryo Interactive,France Telecom Multimedia,Unreleased
Azumanga Donjyara Daioh,Ganbarion,Bandai,"April 18, 2002"
Azure Dreams,Konami,KCE Tokyo,"November 13, 1997"
B Senjou no Alice: Alice on Borderlines,Kodansha,Kodansha,"September 18, 1997"
B.L.U.E. Legend of Water,CAProduction,Hudson Soft,"July 9, 1998"
Baby Felix Tennis,LSP,LSP,Unreleased
Backgammon 2000,Oxford Softworks,Unbalance,"May 18, 2000"
"Backguiner ~Yomigaeru Yuushatachi~ ""Guiner Tenshou""",,,"July 30, 1998"
"Backguiner ACT-2 ~Yomigaeru Yuushatachi~ Hishou Hen ""Uragiri no Senjou""",,,"October 1, 1998"
Backstreet Billiards,Agenda,"ArgentJP, ASCII EntertainmentNA","July 30, 1998"
Backyard Soccer•Junior Sports FootballPAL,Humongous Entertainment,Infogrames,Unreleased
Bakuretsu Hunter: Mahjong Special,Banpresto,Banpresto,"October 25, 1996"
Bakuretsu Hunter: Sorezore no Omoi...Nowaan Chatte,Banpresto,Banpresto,"April 11, 1997"
Bakushou!! All Yoshimoto Quiz Ou Ketteisen DX,TOSE,TOSE,"December 15, 1995"
Bakusou Dekotora Densetsu: Otoko Ippiki Yume Kaidoi,Human Entertainment,Human Entertainment,"June 25, 1998"
Bakusou Dekotora Densetsu 2: Otoko Jinsei Yume Ichiro,Spike,Spike,"December 16, 1999"
(Mini Yonku)/Mini 4WD) Bakusou Kyoudai: Let's & Go!! WGP Hyper Heat,C-Lab,Jaleco Entertainment,"November 20, 1997"
Bakusou Kyoudai: Let's & Go!! Eternal Wings,Jaleco Entertainment,Jaleco Entertainment,"July 30, 1998"
Bakuten Shoot Beyblade 2002: Beybattle Tournament 2,Takara,Takara,"August 1, 2002"
Baldies•Baldy LandJP,Creative Edge Software,"BanprestoJP, Phoenix GamesPAL, Bethesda SoftworksNA","November 19, 1998"
Ball Breakers•MohoPAL,Lost Toys,Take-Two Interactive,Unreleased
Ballblazer Champions,Factor 5,"NALucasArts, PALCTO SpA","March 19, 1998"
Ballerburg Castle Chaos,Ascaron Entertainment,"Mud Duck ProductionsNA, Phoenix GamesPAL",Unreleased
Ballistic,Mitchell Corporation,THQ,Unreleased
Barbapapa,SunSoft,SunSoft,"October 4, 2001"
Barbie: Explorer,Runecraft,Vivendi Universal Games,Unreleased
Barbie: Race & Ride,Runecraft,SCEE,Unreleased
Barbie Super Sports,Runecraft,SCEE,Unreleased
Barbie: Gotta Have Games,Digital Illusions,VU Games,Unreleased
Bardysh: Kromeford no Juunin,Infinity,Imadio,"July 22, 1999"
Baroque,Sting Entertainment,Sting Entertainment,"October 28, 1999"
Baroque Syndrome,Sting Entertainment,Sting Entertainment,"July 27, 2000"
