titles,released,developers,publishers
Backyard Basketball•Junior Sports BasketballEU,21-10-2003,Humongous Entertainment,Atari
Backyard Football '08,16-10-2007,FarSight Technologies,Atari
Backyard Football '09,21-10-2008,FarSight Technologies,Atari
Backyard Football '10,20-10-2009,FarSight Technologies,Atari
Backyard Football 2006,04-10-2005,Humongous Entertainment,Atari
Backyard Sports: Baseball 2007,05-09-2006,Game Brains,Atari
Backyard Sports: Basketball 2007,13-02-2007,Game Brains,Atari
Backyard Wrestling: Don't Try This at Home,07-10-2003,Paradox Development,Eidos Interactive
Backyard Wrestling 2: There Goes the Neighborhood,16-11-2004,Paradox Development,Eidos Interactive
Bad Boys: Miami Takedown•Bad Boys IIEU,02-02-2004,Blitz Games,"Empire InteractiveEU, Crave EntertainmentNA"
Bakufuu Slash! Kizna Arashi,03-11-2004,Sony Computer Entertainment,Sony Computer Entertainment
Bakugan Battle Brawlers,20-10-2009,Now Production,Activision
Bakumatsu Renka: Karyuu Kenshiden,04-10-2007,Vridge,D3 Publisher
Bakumatsu Renka: Shinsengumi,22-12-2004,Vridge,D3 Publisher
Bakumatsu Rouman: Gekka no Kenshi 1-2,12-01-2006,SNK Playmore,SNK Playmore
Bakushou! Jinsei Kaidou,18-03-2004,Taito,Taito
Bakusou Dekotora Densetsu: Otoko Hanamichi Yume Roman,23-01-2003,Dual,Spike
Baldr Bullet: Equilibrium,25-10-2007,TGL,Alchemist
Baldr Force EXE,07-04-2005,HuneX,Alchemist
Baldur's Gate: Dark Alliance,02-12-2001,Snowblind Studios,"Interplay EntertainmentEU,NA, Pacific Century Cyber WorksJP"
Baldur's Gate: Dark Alliance II,20-01-2004,Black Isle Studios,Interplay Entertainment
Band Hero,03-11-2009,BudCat,Activision
Barbarian•Warrior Blade: Rastan vs. BarbarianJP,27-06-2002,Saffire,"Titus SoftwareNA/EU, TaitoJP"
Barbie as the Island Princess,30-10-2007,Human Soft,Activision
Barbie Horse Adventures: Riding Camp,21-10-2008,Pixel Tales,Activision
Barbie Horse Adventures: Wild Horse Rescue,04-11-2003,Blitz Games,Vivendi Universal Games
Barbie in the 12 Dancing Princesses,28-11-2006,Blue Monkey Studios,Activision
The Bard's Tale,26-10-2004,InXile Entertainment,"InXile EntertainmentNA, UbisoftEU"
Barnyard,01-08-2006,Blue Tongue,THQ
Baroque•Baroque InternationalJP,08-04-2008,Sting Entertainment,"Sting EntertainmentJP, AtlusNA, Rising Star GamesEU"
The Baseball 2002: Battle Ball Park Sengen,28-03-2002,Konami,Konami
The Baseball 2003,20-03-2003,Konami,Konami
The Baseball 2003: Akikigou,04-09-2003,Konami,Konami
Baseball Live 2005,21-04-2005,Namco,Namco
Baseball Mania•Simple 2000 Series Vol. 57: The Pro Yakyuu 2004JP,05-08-2004,Tamsoft,"D3 PublisherJP, 505 Game StreetEU"
