titles,developers
Call of Duty: Advanced Warfare,"Sledgehammer Games, High Moon Studios"
Call of Duty: Black Ops,Treyarch
Call of Duty: Black Ops II,Treyarch
Call of Duty: Black Ops III,"Treyarch, Mercenary Technology"
Call of Duty: Ghosts,Infinity Ward
Call of Duty: World at War,Treyarch
Call of Juarez: Bound in Blood,Techland
Call of Juarez: Gunslinger,Techland
Call of Juarez: The Cartel,Techland
Calling All Cars!,Incognito Entertainment
"Capcom Arcade Cabinet (1942, 1943, 1943 Kai, Avengers, Black Tiger, Commando, Exed Exes, Ghosts 'n Goblins, Gun.Smoke, Hyper Dyne Side Arms, Legendary Wings, Pirate Ship Higemaru, Section Z, SonSon, The Speed Rumbler, Trojan, Vulgus)",Capcom
Captain Morgane and the Golden Turtle,WizarBox
Captain America: Super Soldier,Next Level Games / Sega
Carnival Island,Magic Pixel Games
Carnivores: Dinosaur Hunter HD,Vogster Entertainment
Cars 2: The Video Game,Disney Interactive Studios
Cars 3: Driven to Win,Disney Interactive Studios
Cars Mater-National Championship,Rainbow Studios
Cars Race-O-Rama,Incinerator Studios
Cartoon Network: Punch Time Explosion XL,Papaya Studio
Cash Guns Chaos,Sony Online Entertainment
Castle Crashers,The Behemoth
Castle of Illusion Starring Mickey Mouse,Sega
Castle of Illusion starring Mickey Mouse (Genesis),Sega
CastleStorm,Zen Studios
Castlevania: Harmony of Despair,Konami
Castlevania: Lords of Shadow,MercurySteam / Kojima Productions
Castlevania: Lords of Shadow 2,MercurySteam / Kojima Productions
Castlevania: Lords of Shadow – Mirror of Fate HD,MercurySteam
Catan,Game Republic
Cel Damage HD,Finish Line Games
CellFactor: Psychokinetic Wars,Immersion Games
Catherine,Atlus Persona Team
Chaos;Child,5pb.
Chaos;Head – Love Chu*Chu!,5pb.
Chaos;Head Noah,5pb.
Chaos Code,FK Digital
Chaotic: Shadow Warriors,FUN Labs
Champion Jockey: G1 Jockey & Gallop Racer,Koei
Championship Sprint,Sony Online Entertainment
Chariot,Frima Studio
Child of Eden,Q Entertainment
Child of Light,Ubisoft Montreal
Chime Super Deluxe,Zoë Mode
Cipher Complex,Edge of Reality
Chivalry: Medieval Warfare,Torn Banner Studios
Choplifter HD,InXile Entertainment
Choujikuu Yousai Macross: Ai Oboete Imasu ka - Hybrid Pack,Bandai Namco Games
Civilization Revolution,Firaxis Games
Clannad (video game),Prototype
Clash of the Titans,Bandai Namco
Class of Heroes 2G,Acquire
Class of Heroes 3,Acquire
Clive Barker's Jericho,MercurySteam
Cloudy with a Chance of Meatballs,Ubisoft Shanghai
Coded Arms: Assault,Konami
"Colin McRae: Dirt
•DiRTNA",Codemasters
"Colin McRae: Dirt 2
•DiRT 2NA",Codemasters
College Hoops 2K7,Visual Concepts
College Hoops 2K8,Visual Concepts
Closure,Eyebrow Interactive
Cloudberry Kingdom,Pwnee Studios
Combat Wings: The Great Battles of WWII,CI Games
Comet Crash,Pelfast
Comix Zone,Sega Technical Institute
Command & Conquer: Red Alert 3,EA Los Angeles
Conan,Nihilistic Software
Condemned 2: Bloodshot,Monolith Productions
Conflict: Denied Ops,Pivotal Games
Constant C,International Games System
Contrast,Compulsion Games
Cosmophony,Moving Player
Costume Quest,Double Fine Productions
Costume Quest 2,Double Fine Productions
Counter-Strike: Global Offensive,Valve Corporation
CounterSpy,Dynamighty
Crash Time 4: The Syndicate,Synetic
Crash Commando,EPOS Game Studios
Crash Time 5,Synetic
Crazy Machines Elements,FAKT Software
Crazy Strike Bowling,Corecell Technology
Crazy Taxi,Hitmaker
Create,EA Bright Light
Crescent Pale Mist,Rockin' Android
Crimsonland,10tons
Critter Crunch,Capybara Games
Cross Channel: For All people,5pb.
Cross Edge,Compile Heart
Crysis,Crytek
Crysis 2,Crytek
Crysis 3,Crytek
Crystal Defenders,Square Enix
Cubixx HD,Laughing Jackal
Cuboid,Creat Studios
Cutthroats: Battle for Black Powder Cove,SCEA
CSI: Fatal Conspiracy,Ubisoft Montreal
CV Casting Voice,Bandai Namco Games
Cyberbike 2,EKO Software
Dai-2-Ji Super Robot Taisen OG,Bandai Namco Games
Dai-3-Ji Super Robot Taisen Z Jigoku-hen,Bandai Namco
Dai-3-Ji Super Robot Taisen Z Rengoku-hen,Bandai Namco
Dai-3-Ji Super Robot Taisen Z Tengoku-hen,Bandai Namco
Daikoukai Jidai Online,Koei
Daikoukai Jidai Online: 2nd Age (expansion),Koei
Daikoukai Jidai Online: Cruz del Sur (expansion),Koei
Daikoukai Jidai Online: El Oriente (expansion),Koei
Daikoukai Jidai Online: GranAtlas (expansion),Koei
Daikoukai Jidai Online: Tierra Americana (expansion),Koei
Daito Giken Koushiki Pachi-Slot Sumulator Hihouden: Taiyou o Motomeru Monotachi,Paon Corporation
Daisenryaku: Dai Toua Kouboushi – Tora Tora Tora Ware Kishuu Ni Seikou Seri,System Soft
Daisenryaku: Dai Toua Kouboushi - Dai-ni-ji Sekai Taisen Boppatsu! - Suujikugun Tai Rengougun Zensekaisen,SystemSoft
Daisenryaku Daitouakouboushi3 Dai-2-Ji Sekaitaisenbokpatsu Sujikuguntairengougun Zensekaisen,System Soft
Daisenryaku Exceed II,System Soft
Damage Inc. Pacific Squadron WWII,Trickstar Games
Damnation,Blue Omega Entertainment
Dance Dance Revolution•DanceDance Revolution New MovesEU,Konami
Dance! It's Your Stage,Neopica
Dance Magic,Targem Games
Dance on Broadway,Ubisoft
DanceStar Digital,SCEE London Studio
DanceStar Party,SCEE London Studio
DanceStar Party Hits,SCEE London Studio
Dancing Eyes,Namco
Dante's Inferno,Visceral Games
Dare to Fly!,Gameshastra
Dark Awake: The King Has No Name,Recom
Dark Mist,Game Republic
Dark Sector,Digital Extremes
Dark Souls,From Software
Dark Souls II,From Software
Dark Void,Airtight Games
Darksiders,Vigil Games
Darksiders II,Vigil Games
Darkstalkers Resurrection (Night Warriors: Darkstalkers' Revenge and Darkstalkers 3),Iron Galaxy
Date A Live: Arusu Install,Compile Heart
Date A Live: Rinne Utopia,Compile Heart
Datura,Plastic
Days of Thunder: Video Game•Days of Thunder: NASCAR EditionUNK,Piranha Games
Daytona USA,Sega
DC Universe Online,Sony Online Entertainment
de Blob 2,Blue Tongue Entertainment
Dead Block,Candygun Games
Dead Island,Techland
Dead Island: Riptide,Techland
Dead Nation,Housemarque
Dead Secret,Robot Invader
Dead Space Ignition,Sumo Digital / Visceral Games
Deadfall Adventures: Heart of Atlantis,The Farm 51
Deadliest Catch: Sea of Chaos,DoubleTap Games
Deadliest Warrior: Ancient Combat,Pipeworks Software
Deadliest Warrior: Legends,Pipeworks Software
Deadliest Warrior: The Game,Pipeworks Software
Deadly Premonition Directors Cut•Deadly Premonition: Red Seeds Profile: Complete EditionJP[a],Access Games
Deadpool,High Moon Studios
Deadstorm Pirates,Namco Bandai
Dead or Alive 5,Team Ninja / Sega AM2
Dead or Alive 5 Ultimate,Team Ninja / Sega AM2
Dead or Alive 5 Last Round,Team Ninja / Sega AM2
Dead Rising 2,Blue Castle Games
Dead Space,EA Redwood Shores
Dead Space 2,Visceral Games
Dead Space 3,Visceral Games
Dead Space Extraction HD,Visceral GamesEurocom
Dead to Rights: Retribution,Volatile Games
Death Track: Resurrection,Gaijin Entertainment
Deathmatch Village,Bloober Team
DeathSpank,Hothead Games
DeathSpank: Thongs of Virtue,Hothead Games
Deception IV: Blood Ties,Koei Tecmo Games
Deception IV: The Nightmare Princess,Koei Tecmo
Deep Black,Biart
Def Jam: Icon,EA Chicago
Def Jam Rapstar,4mm Games
Defenders of Ardania,Most Wanted Entertainment
Defense Technica,Kuno Interactive
Defiance,Trion WorldsHuman Head Studios
Demolition Inc.,Zeroscale
Demon's Souls,From Software
Dengeki Bunko: Fighting Climax,French Bread (game developer)
Dengeki Bunko: Fighting Climax Ignition,French Bread (game developer)
Derby Time Online,Japan Studio
Derrick the Deathfin,Different Tuna
Desi Adda: Games of India,Gameshastra Inc.
Destiny,Bungie
Destroy All Humans! Path of the Furon,Sandblast Games
Deus Ex: Human Revolution,Eidos Montréal
Deus Ex: Human Revolution Director's Cut,Eidos Montréal
Devil May Cry 4,Capcom
Devil May Cry HD Collection,Capcom
Devil's Third,Valhalla Game Studios
Diablo III,Blizzard Entertainment
Diablo III: Ultimate Evil Edition (expansion),Blizzard Entertainment
Digger HD,Creat Studios|
Digimon All-Star Rumble,Prope
Diner Dash,GameLab
Dirt 3,Codemasters Birmingham
Dirt: Showdown,Codemasters Southam
Dirty Harry,The Collective
Disaster Report 4,Irem
Disaster Report 4 Plus: Summer Memories,Granzella
Disgaea 3: Absence of Justice,Nippon Ichi
Disgaea 4: A Promise Unforgotten,Nippon Ichi
Disgaea D2: A Brighter Darkness,Nippon Ichi
Dishonored,Arkane Studios
Disney Infinity,Avalanche Software
Disney Infinity 2.0 Edition,Avalanche Software
Disney Infinity 3.0 Edition,Avalanche Software
Disney Sing It,Zoë Mode
Disney Sing It: Family Hits,Zoë Mode
Disney Sing It! – High School Musical 3: Senior Year,Zoë Mode
Disney Sing It: Party Hits,Zoë Mode
Disney Sing It: Pop Hits,Zoë Mode
Disney Universe,Disney Interactive Studios
Disorder 6,5pb.
Divekick,Iron Galaxy
DJ Hero,FreeStyleGames
DJ Hero 2,FreeStyleGames
DmC: Devil May Cry,Ninja Theory
Do Not Fall,XPEC Entertainment Inc.
Doc Clock: The Toasted Sandwich of Time,Stickmen Studios
Doctor Who: The Eternity Clock,Id Software
Dogfight 1942,CI Games
Don Bradman Cricket 14,Big Ant Studios
Doki-Doki Universe,HumaNature
Dollar Dash,Candygun Games
Don't Starve: Giant Edition,Klei Entertainment
Doodle Devil,JoyBits
Doodle God,JoyBits
Doodle Kingdom,JoyBits
Doom 3 BFG Edition,Id Software
DOOM Classic Complete,Bethesda Softworks
Double Dragon Neon,WayForward Technologies
Downtown Nekketsu Koushinkyoku: Soreyuke Daiundoukai All Star Special,Arc Entertainment
Dragon Age: Origins,BioWare
Dragon Age: Origins – Awakening (expansion),BioWare
Dragon Age II,BioWare
Dragon Age: Inquisition,BioWare
Dragon Ball Z Budokai HD Collection,Namco Bandai
Dragon Ball Z: Battle of Z,Artdink
Dragon Ball Z: Burst Limit,Dimps
Dragon Ball: Raging Blast,Spike
Dragon Ball: Raging Blast 2,Spike
Dragon Ball XenoVerse,Dimps
Dragon Ball Z: Ultimate Tenkaichi,Spike
Dragon's Crown,Vanillaware
Dragon's Dogma,Capcom
Dragon's Dogma Online,Capcom
Dragon's Dogma: Dark Arisen (expansion),Capcom
Dragon Fantasy Book I,The Muteki Corporation
Dragon Fantasy Book II,The Muteki Corporation
Dragon Fin Soup,Grimm Bros.
Dragon's Lair,Digital Leisure
Dragon's Lair II: Time Warp,Digital Leisure
Dragon Quest Builders,Square Enix
Dragon Quest Heroes II,Square Enix
Dragon Quest Heroes: Yamiryuu to Sekaiju no Shiro,Square Enix
Drakengard 3,Access Games
Dream Chronicles,KatGames
Dream C Club Gogo.,D3Publisher
Dream C Club: Complete Edipyon!,D3Publisher
Dreamcast Collection,Sega
DreamWorks Super Star Kartz,Activision
dress,SCEI
Driver: San Francisco,Ubisoft Reflections
Droplitz,Blitz Arcade
Duck Dynasty,FUN Labs
DuckTales: Remastered,WayForward Technologies
Das Duell – Männer vs. Frauen: Partyspaß Total!,dtp Entertainment
Duke Nukem Forever,3D Realms / Triptych Games / Gearbox Software / Piranha Games
Duke Nukem 3D Megaton Edition,Devolver Digital
Dungeon Defenders,Trendy Entertainment
Dungeon Hunter: Alliance,Gameloft
Dungeon Twister,Hydravision Entertainment
"Dungeons & Dragons: Chronicles of Mystara (Dungeons & Dragons: Shadow over Mystara, Dungeons & Dragons: Tower of Doom)",Capcom
Dungeons & Dragons: Daggerdale,Bedlam Games
Dungeons & Dragons Mystara Eiyuu Senki,Capcom
Dunamis 15,5pb.
Dungeon Siege III,Obsidian Entertainment
Dust 514,CCP Games
Dustforce,Hitbox Team
Dyad,Right Square Bracket Left Square Bracket Games
Dying Light,Techland
Dynasty Warriors: Godseekers,Omega Force
Dynasty Warriors 6,Omega Force
Dynasty Warriors 6 Empires,Omega Force
Dynasty Warriors 7,Omega Force
Dynasty Warriors 7: Xtreme Legends,Omega Force
Dynasty Warriors 7 Empires,Omega Force
Dynasty Warriors 8,Omega Force
Dynasty Warriors 8: Empires,Omega Force
Dynasty Warriors 8: Xtreme Legends•Dynasty warriors 7: XLAsia,Omega Force
Dynasty Warriors: Gundam,Omega Force
Dynasty Warriors: Gundam 2,Omega Force
Dynasty Warriors: Gundam 3,Omega Force
Dynasty Warriors: Gundam Reborn,Omega Force
Dynasty Warriors: Strikeforce,Blue Omega Entertainment
Dynasty Warriors: Strikeforce 2 HD Edition,Omega Force
E.X. Troopers,Capcom / HexaDrive
Earth Defense Force 2025,Sandlot
Earth Defense Force: Insect Armageddon,Sandlot
Earth No More,3D Realms
Earthworm Jim HD,Gameloft
EA Sports Active 2,EA Tiburon
EA Sports MMA,EA Tiburon
Eat Lead: The Return of Matt Hazard,Vicious Cycle Software
Eat Them!,FluffyLogic
Echochrome,Japan Studio
Echochrome II,Japan Studio
Eight Days,London Studio
Eiyuu Senhime,5pb.
El Chavo Kart,Effecto Studios / Slang
El Shaddai: Ascension of the Metatron,Ignition Tokyo
Elefunk,8bit Games
Elemental Monster: Online Card Game,Hudson Soft
Elevator Action Deluxe,Square Enix
The Elder Scrolls IV: Oblivion,Bethesda Game Studios
The Elder Scrolls IV: Shivering Isles,Bethesda Game Studios
The Elder Scrolls V: Skyrim,Bethesda Game Studios
Enchanted Arms,From Software
Endless Saga,Webzen
Enemy Front,CI Games
Enemy Territory: Quake Wars,Splash Damage / Underground Development
Enslaved: Odyssey to the West,Ninja Theory
Entwined,PixelOpus
Epic Mickey,Junction Point Studios
Epic Mickey 2: The Power of Two,Junction Point Studios
Escape Dead Island,Fatshark
Eternal Light,Revistronic
Eternal Sonata,tri-Crescendo
Ethan: Meteor Hunter,Seaven Studio
Eufloria,Omni Systems
Eureka Seven AO: Jungfrau no Hanabanatachi,Bandai Namco Games
Everybody Dance,London Studio
Everybody Dance 2,London Studio
Hot Shots Golf: Out of Bounds•Everybody's Golf 5JP•Everybody's Golf: World TourEU,Clap Hanz
Everyday Shooter,Queasy Games
Everyone Sing,O-Games
Explodemon,Curve Studios
Extreme Exorcism,Golden Ruby Games
EyeCreate,London Studio
Eyedentify,London Studio
The Eye of Judgment,Japan Studio
EyePet,London Studio
Eyepet & Friends,London Studio
F.E.A.R.,Monolith Productions / Day 1 Studios
F.E.A.R. 2: Project Origin,Monolith Productions
F.E.A.R. 3,Day 1 Studios
F1 2010,Codemasters Birmingham
F1 2011,Codemasters
F1 2012,Codemasters
F1 2013,Codemasters
F1 2014,Codemasters
F1 Race Stars,Codemasters
FaceBreaker,EA Canada
Faery: Legends of Avalon,Spiders
Fairy Fencer F,Compile Heart
Fairytale Fights,Playlogic Game Factory
Faith and a .45,Deadline Games
Falling Skies: The Game,Little Orbit
Fallout 3,Bethesda Game Studios
Fallout: New Vegas,Obsidian Entertainment
Family Feud,Virtuos
Family Feud Decades,Virtuos
Family Guy: Back to the Multiverse,Heavy Iron Studio
Fantastic Four: Rise of the Silver Surfer,7 Studios / Visual Concepts
Far Cry 2,Ubisoft Montreal
Far Cry 3,Ubisoft Montreal
Far Cry 3: Blood Dragon,Ubisoft Montreal
Far Cry 4,Ubisoft Montreal
Far Cry Classic,Crytek
Far Cry Compilation,Ubisoft Montreal
Far Cry The Wild Expedition,Ubisoft Montreal
Farming Simulator 13,Giants Software
Farming Simulator 15,Giants Software
Fast and Furious: Showdown,Firebrand Games
Fast Draw Showdown,Digital Leisure
Fat Princess,Titan Studios
Fatal Inertia EX,Koei Canada
Ferrari Challenge: Trofeo Pirelli,Eutechnyx
Feeding Frenzy 2: Shipwreck Showdown,PopCap Games
Ferrari: The Race Experience,Eutechnyx
Fez,Polytron Corporation
Fibbage,Jackbox Games
FIFA 08,EA Canada
FIFA 09,EA Canada
FIFA 10,EA Canada
FIFA 11,EA Canada
FIFA 12,EA Canada
FIFA 13,EA Canada
FIFA 14,EA Canada
FIFA 15,EA Canada
FIFA 16,EA Canada
