titles,genre,developers,publishers
Bejeweled Blitz Live,Puzzle & Trivia,PopCap Games,PopCap Games
Bellator: MMA Onslaught,Fighting,Kung Fu Factory,345 Games
Ben 10 Alien Force: The Rise of Hex,Action & Adventure,Black Lantern Studios,Konami
Ben 10 Alien Force: Vilgax Attacks,Action,Papaya Studio,D3 Publisher
Ben 10 Ultimate Alien: Cosmic Destruction,Action-adventure,Papaya Studio,D3 Publisher
Ben 10: Galactic Racing,Racing,Monkey Bar Games,D3 Publisher
Ben 10: Omniverse,"Action, Beat 'em up",Vicious Cycle Software,D3 Publisher
Ben 10: Omniverse 2,"Action, Beat 'em up",High Voltage Software,D3 Publisher
Beowulf: The Game,"Action, Hack & Slash",Ubisoft,Ubisoft
Beyond Good & Evil HD,Action-adventure,Ubisoft Shanghai,Ubisoft
Big Bumpin',"Racing, Action",Blitz Games,King Games
Binary Domain,Third-person shooter,Ryū ga Gotoku Studios,Sega
Bionic Commando,"Action-adventure, third-person shooter",GRIN,Capcom
Bionic Commando Rearmed,Action & Adventure,GRIN,Capcom
Bionic Commando Rearmed 2,Action & Adventure,Fatshark,Capcom
Bionicle Heroes,Third-person shooter,Traveller's Tales,Eidos Interactive
BioShock,First-person shooter,2K Boston/2K Australia,"2K Games, SpikeJP"
BioShock 2,First-person shooter,2K Marin,2K Games
BioShock Infinite,First-person shooter,Irrational Games,2K Games
Birds of Steel,Combat flight simulation game,Gaijin Entertainment,Konami
Bit.Trip Presents...Runner2: Future Legend of Rhythm Alien,Platformer,Gaijin Games,Aksys Games
Black College Football: The Xperience,Sports,Nerjyzed Entertainment,Aspyr
Black Knight Sword,Action & Adventure,Grasshopper Manufacture,D3 Publisher
Blacklight: Tango Down,Shooter,Zombie Studios,Ignition Entertainment
BlackSite: Area 51,First-person shooter,Midway Games,Midway Games
Blackwater,First-person shooter,Zombie Studios,505 Games
Blade Kitten,Action & Adventure,Krome Studios,Atari
Blades of Time,"Action, hack and slash",Gaijin Entertainment,Konami
Bladestorm: The Hundred Years' War,RTT,Omega Force,Koei
BlazBlue: Calamity Trigger,Fighting,Arc System Works,Arc System Works
BlazBlue: Continuum Shift,Fighting,Arc System Works,Arc System Works
BlazBlue: Continuum Shift Extend,Fighting,Arc System Works,Arc System Works
Blazing Angels 2: Secret Missions of WWII,Combat flight simulation game,Ubisoft Bucharest,Ubisoft
Blazing Angels: Squadrons of WWII,Combat flight simulation game,Ubisoft Bucharest,Ubisoft
Blazing Birds,Sports & Recreation,Vector 2 Games,Xbox Game Studios
Bliss Island,Puzzle & Trivia,PomPom Games,Codemasters
Blitz: The League,Sports,Midway Games,Midway Games
Blitz: The League II,Sports,Midway Games,Midway Games
Blood Bowl,"Sports, RTS, Turn-based strategy",Cyanide,Focus Home Interactive
Blood Drive,Vehicular combat,Sidhe,Activision
Blood Knights,Action & Adventure,Deck13 Interactive,Kalypso Media
Blood of the Werewolf,Platformer,Scientifically Proven,Midnight City
Bloodbath,Fighting,Freedom Factory Studios,Freedom Factory Studios
Bloodforge,Action & Adventure,Climax Studios,Xbox Game Studios
BloodRayne: Betrayal,Platformer,WayForward Technologies,Majesco Entertainment
Bloody Good Time,Shooter,Outerlight,Ubisoft
Blue Dragon,Role-playing,Mistwalker,Xbox Game Studios
"Bluecoats: North vs South, TheThe Bluecoats: North vs South",Strategy & Simulation,Anuman,Bandai Namco Entertainment
Blur,"Racing, vehicular combat",Bizarre Creations,Activision
Body and Brain Connection,Puzzle,Namco Bandai Games,Namco Bandai Games
Bodycount,First-person shooter,Guildford Studio,Codemasters
Bolt,Adventure,Avalanche Software,Disney Interactive Studios
Bomberman Live,Action & Adventure,Backbone Entertainment,Hudson Soft
Bomberman Live: Battlefest,Action & Adventure,Pi Studios,Hudson Soft
