titles,genre,developers,publishers
Call of Cthulhu: Dark Corners of the Earth,"First-person shooter,Survival Horror",Headfirst Productions,Bethesda Softworks/2K Games
Call of Duty: Finest Hour,First-person shooter,Spark Unlimited,Activision
Call of Duty 2: Big Red One,First-person shooter,Treyarch,Activision
Call of Duty 3,First-person shooter,"Treyarch, Pi Studios",Activision
Capcom Classics Collection Vol. 1,Arcade Compilations,Backbone Entertainment,Capcom
Capcom Classics Collection Vol. 2,Arcade Compilations,Backbone Entertainment,Capcom
Capcom Fighting Evolution  Capcom Fighting Jam (PAL) (JP),Fighting,Capcom Production Studio 2,Capcom
Capcom vs. SNK 2 EO,Fighting,Capcom Production Studio 1,Capcom
Carmen Sandiego: The Secret of the Stolen Drums,"Third-person Action-Adventure,Platformer",A2M,BAM! Entertainment
Cars,Racing,Rainbow Studios,THQ
Carve,Racing,Argonaut Games,Global Star Software
Castlevania: Curse of Darkness  Akumajo Dracula: Yami no Juin (JP),"Third-person Action-Adventure,Hack and slash",Konami,Konami
Catwoman,Third-person Action-Adventure,Argonaut Games,EA Games
Cel Damage,Vehicular combat,Pseudo Interactive,EA Games
Celebrity Deathmatch,Fighting,Big Ape Productions,Gotham Games
Championship Bowling,Sports,Black Market Games,Evolved Games
Championship Manager: Season 01/02,Sport Management,Sports Interactive,Eidos Interactive
Championship Manager: Season 02/03,Sport Management,Sports Interactive,Eidos Interactive
Championship Manager 2006,Sport Management,Gusto Games,Eidos Interactive
Championship Manager 5,Sport Management,Gusto Games,Eidos Interactive
Charlie and the Chocolate Factory,Third-person Action-Adventure,High Voltage Software,Global Star Software
Chase: Hollywood Stunt Driver,"Racing,Action",I-Imagine,BAM! Entertainment
Chessmaster 10th Edition,Chess,Ubisoft,Ubisoft
Chicago Enforcer,First-person shooter,Touchdown,Kemco
Chicken Little,Action-Adventure,Avalanche Software,Buena Vista Games
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",Third-person Action-Adventure,Traveller's Tales,Buena Vista Games
The Chronicles of Riddick: Escape from Butcher Bay,"Action-Adventure,Stealth","Starbreeze Studios, Tigon Studios",Vivendi Universal Games
Circus Maximus: Chariot Wars,Racing,Kodiak Interactive,Encore
Classified: The Sentinel Crisis,First-person shooter,Torus Games,Global Star Software
Close Combat: First to Fight,First-person shooter,Destineer,2K Games
Club Football,Sports,Codemasters,Codemasters
Club Football 2005,Sports,Codemasters,Codemasters
Codename: Kids Next Door - Operation: V.I.D.E.O.G.A.M.E.,"Platformer,Adventure",High Voltage Software,Global Star Software
Cold Fear,Survival Horror,Darkworks,Ubisoft
Cold War,Stealth,Mindware Studios,DreamCatcher Games
Colin McRae Rally 04,Racing,Codemasters,Codemasters
Colin McRae Rally 2005,Racing,Codemasters,Codemasters
Colin McRae Rally 3,Racing,Codemasters,Codemasters
College Hoops 2K6,Sports,Visual Concepts,2K Sports
College Hoops 2K7,Sports,Visual Concepts,2K Sports
Combat Elite: WWII Paratroopers,"Action,RPG",BattleBorne Entertainment,SouthPeak Interactive
Combat: Task Force 121,"First-person shooter,Tactical shooter",Direct Action,Groove Games
Commandos: Strike Force,First-person shooter,Pyro Studios,Eidos Interactive
Commandos 2: Men of Courage,Real-time Tactics,Pyro Studios,Eidos Interactive
Conan,"Action-Adventure,Hack and slash",Cauldron HQ,TDK Mediactive
Conflict: Desert Storm,Tactical shooter,Pivotal Games,SCi
Conflict: Desert Storm II: Back to Baghdad,Tactical shooter,Pivotal Games,SCi
Conflict: Global Terror,Tactical shooter,Pivotal Games,SCi / 2K Games
Conflict: Vietnam,Tactical shooter,Pivotal Games,Eidos Interactive
Conker: Live & Reloaded,"Third-person shooter,Platformer",Rare,Xbox Game Studios
Conspiracy: Weapons of Mass Destruction,First-person shooter,Kuju Entertainment,Oxygen Interactive
Constantine,"Action-Adventure,Third-person shooter",Bits Studios,THQ
Corvette,Racing,Steel Monkeys,TDK Mediactive
Counter-Strike,First-person shooter,Valve,Xbox Game Studios
Crash Bandicoot: The Wrath of Cortex,Platformer,Traveller's Tales,Vivendi Universal Interactive Publishing
Crash 'n' Burn,Racing,Climax,Eidos Interactive
Crash Nitro Kart,Racing,Vicarious Visions,Vivendi Universal Games
Crash Tag Team Racing,Racing,Radical Entertainment,Vivendi Universal Games
Crash Twinsanity,Platformer,Traveller's Tales,Vivendi Universal Games
Crazy Taxi 3: High Roller,"Racing,Action",Hitmaker,Sega
Cricket 2005,Sports,HB Studios,EA Games
Crime Life: Gang Wars,Action,Hothouse Creations,Konami
Crimson Sea,"Action,RPG",Koei,Koei
Crimson Skies: High Road to Revenge,"Action,Arcade Flight Combat",FASA Interactive,Xbox Game Studios
"Crouching Tiger, Hidden Dragon",Beat 'em up,Bergsala Lightweight,Ubisoft
Crusty Demons,"Racing,Motocross","Evolved Games, Climax",SouthPeak Games
CSI: Crime Scene Investigation,Adventure,369 Interactive,Ubisoft
Curious George,Platformer,Monkey Bar Games,Namco
Curse: The Eye of Isis,Survival Horror,Asylum Entertainment,DreamCatcher Interactive
The Da Vinci Code,"Adventure,Puzzle",The Collective,2K Games
Daemon Vector,Action,XPEC Entertainment,XPEC Entertainment
Dai Senryaku VII: Modern Military Tactics  Daisenryaku VII (JP),Turn-based strategy,SystemSoft,Kemco
Dakar 2: The World's Ultimate Rally,Racing,Acclaim Studios Cheltenham,Acclaim Entertainment
Dance Dance Revolution Ultramix  Dance Stage Unleashed (PAL),"Music,Rhythm",Konami,Konami
Dance Dance Revolution Ultramix 2  Dance Stage Unleashed 2 (PAL),"Music,Rhythm",Konami,Konami
Dance Dance Revolution Ultramix 3  Dance Stage Unleashed 3 (PAL),"Music,Rhythm",Konami,Konami
Dance Dance Revolution Ultramix 4,"Music,Rhythm",Konami,Konami
Dance: UK,"Music,Rhythm",Broadsword Interactive,Bigben Interactive
Dark Summit,Sports (Snowboarding),Radical Entertainment,THQ
Darkwatch,First-person shooter,High Moon Studios,Capcom
Dave Mirra Freestyle BMX 2,Sports,Z-Axis,Acclaim Max Sports
David Beckham Soccer,Sports,Rage Software Limited,Rage Software Limited
Dead Man's Hand,"Action,First-person shooter",Human Head Studios,Atari
Dead or Alive 3,Fighting,Team Ninja,Tecmo
Dead or Alive Ultimate,Fighting,Team Ninja,Tecmo
Dead or Alive Xtreme Beach Volleyball,Sports,Team Ninja,Tecmo
Dead to Rights,Third-person shooter,Namco,Namco
Dead to Rights II,Third-person shooter,Widescreen Games,Namco
Deathrow,"Sports,Action",Southend Interactive,Ubisoft
Def Jam: Fight for NY,Fighting,"AKI Corporation, EA Canada",EA Games
Defender,Shoot'em up,7 Studios,Midway Games
Delta Force: Black Hawk Down,First-person shooter,"VU Games, Climax",NovaLogic
Dennou Taisen: DroneZ,Action,Zetha GameZ,Metro 3D
Destroy All Humans!,Action-Adventure,Pandemic Studios,THQ
Destroy All Humans! 2,Action-Adventure,Pandemic Studios,THQ
Deus Ex: Invisible War,"First-person shooter,RPG",Ion Storm,Eidos Interactive
Die Hard: Vendetta,First-person shooter,Bits Studios,Vivendi Universal Games
Digimon Rumble Arena 2,Fighting,Bandai,Bandai
Digimon World 4  Dejimon Warudo X (JP),"Action,RPG",Bandai,Bandai
Dino Crisis 3,"Third-person shooter,Action-Adventure",Capcom,Capcom
Dinosaur Hunting,"Hunting,Action-Adventure",Scarab,Metro 3D
Dinotopia: The Sunstone Odyssey,Third-person Action-Adventure,Vicious Cycle,TDK Mediactive
Disney's Extreme Skate Adventure,Sports,Toys for Bob,Activision
Doom 3,First-person shooter,"id Software, Vicarious Visions",Activision
Doom 3: Resurrection of Evil,First-person shooter,id Software,Activision
Double-S.T.E.A.L. - The Second Clash,"Action,Racing",Bunkasha Publishing,Xbox Game Studios
Dr. Muto,Platformer,Midway Games,Midway Games
Dr. Seuss' The Cat in the Hat,Action,Magenta Software,Vivendi Universal Games
Dragon Ball Z: Sagas,"Action-Adventure,Beat 'em up",Avalanche Software,Atari
Dragon's Lair 3D: Return to the Lair,"Platformer,Third-person Action-Adventure",Dragonstone Software,Ubisoft
Drake of the 99 Dragons,Third-person shooter,Idol FX,Majesco Entertainment
Dreamfall: The Longest Journey,Adventure,Funcom,Aspyr Media
Drihoo (JP),Adventure,Highwaystar,Highwaystar
DRIV3R,Racing,Reflections Interactive,Atari
Driver: Parallel Lines,Racing,Reflections Interactive,Atari
The Dukes of Hazzard: Return of the General Lee,Racing,Ratbag,Ubisoft
Dungeons & Dragons: Heroes,"Hack and slash,RPG",Atari Hunt Valley,Atari
Dynasty Warriors 3  Shin Sangokumusou 2 (JP),Hack and slash,Omega Force,Koei
Dynasty Warriors 4  Shin Sangokumusou 3 (JP),Hack and slash,Omega Force,Koei
Dynasty Warriors 5  Shin Sangokumusou 4 (JP),Hack and slash,Omega Force,Koei
"Ed, Edd n Eddy: The Mis-Edventures","Adventure,Platformer",Artificial Mind and Movement,Midway Games
Egg Mania: Eggstreme Madness,Puzzle,HotGen,Kemco
The Elder Scrolls III: Morrowind,"Action,RPG",Bethesda Softworks,Bethesda Softworks
Enclave,"Action RPG,Hack and slash",Starbreeze,Conspiracy Entertainment
England International Football,Sports,Codemasters,Codemasters
Enter the Matrix,"Third-person Action-Adventure,Fighting",Shiny Entertainment,Infogrames
